Image,x_center,y_center,width,height,Image_angle,x_position,y_position,angle
0,49.5,14.5,99,29,179.34902366371045,-1.1604110717773437,1.6231021463871,0.0
1,49.5,14.5,99,29,178.4100849400678,-1.1604110717773437,1.6231021463871,5.0
2,49.5,15.0,99,30,177.2063780178978,-1.1604110717773437,1.6231021463871,10.0
3,50.0,15.0,100,30,176.28429601441377,-1.1604110717773437,1.6231021463871,15.0
4,50.0,15.0,100,30,175.31674502149394,-1.1604110717773437,1.6231021463871,20.0
5,50.0,15.0,100,30,175.0432849324389,-1.1604110717773437,1.6231021463871,25.0
6,49.5,15.5,99,31,173.39603576861043,-1.1604110717773437,1.6231021463871,30.0
7,49.5,15.5,99,31,172.6282185817646,-1.1604110717773437,1.6231021463871,35.0
8,49.0,15.5,98,31,171.4071469278876,-1.1604110717773437,1.6231021463871,40.0
9,45.0,15.5,90,31,170.68606841177245,-1.1604110717773437,1.6231021463871,45.0
10,41.0,16.0,82,32,169.52867472500589,-1.1604110717773437,1.6231021463871,50.0
11,38.0,16.0,76,32,168.77153050002892,-1.1604110717773437,1.6231021463871,55.0
12,35.0,16.5,70,33,167.5598165704091,-1.1604110717773437,1.6231021463871,60.0
13,32.0,17.0,64,34,166.17701231813066,-1.1604110717773437,1.6231021463871,65.0
14,30.0,17.5,60,35,165.0231959160992,-1.1604110717773437,1.6231021463871,70.0
15,27.5,18.0,55,36,163.52539244170475,-1.1604110717773437,1.6231021463871,75.0
16,26.0,19.0,52,38,162.01974140167755,-1.1604110717773437,1.6231021463871,80.0
17,23.5,20.5,47,41,159.49545654921485,-1.1604110717773437,1.6231021463871,85.0
18,22.0,22.5,44,45,112.17072841121819,-1.1604110717773437,1.6231021463871,90.0
19,20.0,24.5,40,49,109.54692944311472,-1.1604110717773437,1.6231021463871,95.0
20,18.5,29.5,37,59,105.91372328833654,-1.1604110717773437,1.6231021463871,100.0
21,17.5,31.5,35,63,101.19006752597977,-1.1604110717773437,1.6231021463871,105.0
22,16.5,32.0,33,64,96.20370926370038,-1.1604110717773437,1.6231021463871,110.0
23,17.0,31.5,34,63,89.20442986440275,-1.1604110717773437,1.6231021463871,115.0
24,21.0,31.0,42,62,83.73559614542432,-1.1604110717773437,1.6231021463871,120.0
25,25.0,30.0,50,60,45.0,-1.1604110717773437,1.6231021463871,125.0
26,28.5,29.0,57,58,46.24477646099956,-1.1604110717773437,1.6231021463871,130.0
27,32.0,27.5,64,55,44.37731786661584,-1.1604110717773437,1.6231021463871,135.0
28,35.0,26.5,70,53,45.0,-1.1604110717773437,1.6231021463871,140.0
29,38.0,25.0,76,50,45.0,-1.1604110717773437,1.6231021463871,145.0
30,40.5,23.5,81,47,9.426579382209525,-1.1604110717773437,1.6231021463871,150.0
31,42.5,22.0,85,44,6.01529804826896,-1.1604110717773437,1.6231021463871,155.0
32,44.5,20.5,89,41,4.44032957526008,-1.1604110717773437,1.6231021463871,160.0
33,46.0,19.0,92,38,3.214373874414946,-1.1604110717773437,1.6231021463871,165.0
34,47.5,17.0,95,34,1.7540416879784289,-1.1604110717773437,1.6231021463871,170.0
35,48.5,15.5,97,31,0.6985905136482415,-1.1604110717773437,1.6231021463871,175.0
36,54.0,8.5,108,17,179.40940554333667,-1.1604110717773437,1.6731021463870999,0.0
37,54.5,9.0,109,18,177.80064732250224,-1.1604110717773437,1.6731021463870999,5.0
38,54.5,9.0,109,18,177.03770900900872,-1.1604110717773437,1.6731021463870999,10.0
39,55.0,9.5,110,19,176.2595569102382,-1.1604110717773437,1.6731021463870999,15.0
40,54.0,9.5,108,19,175.22543303563202,-1.1604110717773437,1.6731021463870999,20.0
41,47.5,10.0,95,20,174.28644920302742,-1.1604110717773437,1.6731021463870999,25.0
42,42.5,10.5,85,21,173.30375112312447,-1.1604110717773437,1.6731021463870999,30.0
43,38.5,10.5,77,21,172.6282185817646,-1.1604110717773437,1.6731021463870999,35.0
44,35.5,11.0,71,22,171.65037788300322,-1.1604110717773437,1.6731021463870999,40.0
45,33.0,11.5,66,23,170.65050859790944,-1.1604110717773437,1.6731021463870999,45.0
46,31.0,12.0,62,24,169.67054496834623,-1.1604110717773437,1.6731021463870999,50.0
47,29.0,12.5,58,25,168.58317291104123,-1.1604110717773437,1.6731021463870999,55.0
48,27.5,13.0,55,26,167.57880544727243,-1.1604110717773437,1.6731021463870999,60.0
49,27.0,14.0,54,28,166.5020808029567,-1.1604110717773437,1.6731021463870999,65.0
50,25.0,14.5,50,29,166.39194422134625,-1.1604110717773437,1.6731021463870999,70.0
51,24.0,16.0,48,32,163.15496623701011,-1.1604110717773437,1.6731021463870999,75.0
52,23.5,17.5,47,35,161.76538280497402,-1.1604110717773437,1.6731021463870999,80.0
53,22.5,19.0,45,38,45.0,-1.1604110717773437,1.6731021463870999,85.0
54,22.0,22.5,44,45,112.17072841121819,-1.1604110717773437,1.6731021463870999,90.0
55,21.0,25.0,42,50,108.43494882292202,-1.1604110717773437,1.6731021463870999,95.0
56,21.0,25.5,42,51,105.38135976711948,-1.1604110717773437,1.6731021463870999,100.0
57,21.0,25.5,42,51,101.59929525682406,-1.1604110717773437,1.6731021463870999,105.0
58,21.5,25.0,43,50,45.0,-1.1604110717773437,1.6731021463870999,110.0
59,23.5,24.5,47,49,44.39056238243438,-1.1604110717773437,1.6731021463870999,115.0
60,27.5,24.0,55,48,45.0,-1.1604110717773437,1.6731021463870999,120.0
61,31.0,23.0,62,46,45.0,-1.1604110717773437,1.6731021463870999,125.0
62,34.5,22.0,69,44,45.0,-1.1604110717773437,1.6731021463870999,130.0
63,38.0,20.5,76,41,19.329904127044983,-1.1604110717773437,1.6731021463870999,135.0
64,41.0,19.5,82,39,15.631865847188692,-1.1604110717773437,1.6731021463870999,140.0
65,44.0,18.0,88,36,11.814688865328435,-1.1604110717773437,1.6731021463870999,145.0
66,46.5,17.5,93,35,8.939348297920674,-1.1604110717773437,1.6731021463870999,150.0
67,48.5,15.5,97,31,6.642433242451034,-1.1604110717773437,1.6731021463870999,155.0
68,50.0,14.0,100,28,4.791472361766296,-1.1604110717773437,1.6731021463870999,160.0
69,51.5,12.0,103,24,2.98716164324037,-1.1604110717773437,1.6731021463870999,165.0
70,52.5,10.5,105,21,1.589915059932082,-1.1604110717773437,1.6731021463870999,170.0
71,53.5,9.0,107,18,0.8732794831751107,-1.1604110717773437,1.6731021463870999,175.0
72,51.5,28.0,103,56,179.3704773964123,-1.1104110717773437,1.5231021463871,0.0
73,52.0,28.0,104,56,178.355378660754,-1.1104110717773437,1.5231021463871,5.0
74,52.5,28.0,105,56,177.265452514944,-1.1104110717773437,1.5231021463871,10.0
75,52.5,28.0,105,56,175.58512766604548,-1.1104110717773437,1.5231021463871,15.0
76,52.5,28.5,105,57,174.55723647267064,-1.1104110717773437,1.5231021463871,20.0
77,52.0,28.5,104,57,174.23813914805135,-1.1104110717773437,1.5231021463871,25.0
78,52.0,28.5,104,57,173.17854261200495,-1.1104110717773437,1.5231021463871,30.0
79,52.0,29.0,104,58,172.3959804046823,-1.1104110717773437,1.5231021463871,35.0
80,52.0,29.0,104,58,171.46857141326927,-1.1104110717773437,1.5231021463871,40.0
81,51.5,29.0,103,58,170.90631199610056,-1.1104110717773437,1.5231021463871,45.0
82,51.0,29.5,102,59,169.5006404828065,-1.1104110717773437,1.5231021463871,50.0
83,50.0,30.0,100,60,168.62332312653461,-1.1104110717773437,1.5231021463871,55.0
84,48.5,30.0,97,60,167.47451109177854,-1.1104110717773437,1.5231021463871,60.0
85,47.0,30.5,94,61,166.20135206567812,-1.1104110717773437,1.5231021463871,65.0
86,45.0,31.0,90,62,164.87178141823534,-1.1104110717773437,1.5231021463871,70.0
87,43.0,32.0,86,64,163.3229871242416,-1.1104110717773437,1.5231021463871,75.0
88,40.0,33.5,80,67,161.38258300921268,-1.1104110717773437,1.5231021463871,80.0
89,37.5,34.5,75,69,159.6269182180596,-1.1104110717773437,1.5231021463871,85.0
90,34.5,37.0,69,74,111.48454288157347,-1.1104110717773437,1.5231021463871,90.0
91,30.5,40.0,61,80,108.6082202367673,-1.1104110717773437,1.5231021463871,95.0
92,27.0,45.0,54,90,105.38701805062408,-1.1104110717773437,1.5231021463871,100.0
93,23.5,46.5,47,93,100.44290073034654,-1.1104110717773437,1.5231021463871,105.0
94,20.5,46.5,41,93,95.35656151139551,-1.1104110717773437,1.5231021463871,110.0
95,18.0,46.5,36,93,89.27346441326915,-1.1104110717773437,1.5231021463871,115.0
96,22.5,45.5,45,91,83.30375112312447,-1.1104110717773437,1.5231021463871,120.0
97,26.5,44.5,53,89,76.20135206567818,-1.1104110717773437,1.5231021463871,125.0
98,30.5,43.5,61,87,70.09721445386742,-1.1104110717773437,1.5231021463871,130.0
99,34.0,42.0,68,84,65.71183281250137,-1.1104110717773437,1.5231021463871,135.0
100,37.0,41.0,74,82,61.28702856728626,-1.1104110717773437,1.5231021463871,140.0
101,40.0,39.5,80,79,145.79068732858065,-1.1104110717773437,1.5231021463871,145.0
102,43.0,37.5,86,75,45.0,-1.1104110717773437,1.5231021463871,150.0
103,45.0,36.0,90,72,45.0,-1.1104110717773437,1.5231021463871,155.0
104,47.0,34.5,94,69,4.932903471542204,-1.1104110717773437,1.5231021463871,160.0
